Company,Industry,City,Careers Site URL,Company_Size,Primary_Source,Indeed_URL,AngelList_URL,Glassdoor_URL,Backup_Strategy,Careers URL,Indeed Search
First Arriving,Public Safety,,https://firstarriving.com/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""First Arriving""&l=nan,CO",,https://www.glassdoor.com/Jobs/First-Arriving-Jobs-E12345.htm,"careers_page,indeed",,
FIVE x 5 Solutions,Software & Services,,https://fivexfive.com/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""FIVE x 5 Solutions""&l=nan,CO",,https://www.glassdoor.com/Jobs/FIVE-x-5-Solutions-Jobs-E12345.htm,"careers_page,indeed",,
Five9,Communications,,https://www.five9.com/about/careers/jobs#grnhse_app,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Five9""&l=nan,CO",,https://www.glassdoor.com/Jobs/Five9-Jobs-E12345.htm,"careers_page,indeed",,
Fivetran,Analytics & AI,,https://www.fivetran.com/careers,Small,careers_page,"https://www.indeed.com/jobs?q=company:""Fivetran""&l=nan,CO",https://angel.co/company/fivetran/jobs,https://www.glassdoor.com/Jobs/Fivetran-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
Flatfile,Software & Services,,https://flatfile.com/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Flatfile""&l=nan,CO",,https://www.glassdoor.com/Jobs/Flatfile-Jobs-E12345.htm,"careers_page,indeed",,
FluentStream,Communications,,https://fluentstream.applytojob.com/apply/Wr5ru22GGZ/Future-Opportunities?source=Our%20Career%20Page%20Widget,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""FluentStream""&l=nan,CO",,https://www.glassdoor.com/Jobs/FluentStream-Jobs-E12345.htm,"careers_page,indeed",,
FluoroFinder,Healthcare Technology,,https://www.fluorofinder.com/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""FluoroFinder""&l=nan,CO",,https://www.glassdoor.com/Jobs/FluoroFinder-Jobs-E12345.htm,"careers_page,indeed",,
Flytedesk,Marketing Technology,,https://flytedesk.com/careers/,Small,careers_page,"https://www.indeed.com/jobs?q=company:""Flytedesk""&l=nan,CO",https://angel.co/company/flytedesk/jobs,https://www.glassdoor.com/Jobs/Flytedesk-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
ForceMetrics,Public Safety,,https://apply.workable.com/forcemetrics/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""ForceMetrics""&l=nan,CO",,https://www.glassdoor.com/Jobs/ForceMetrics-Jobs-E12345.htm,"careers_page,indeed",,
Freshworks,Software & Services,,https://www.freshworks.com/company/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Freshworks""&l=nan,CO",,https://www.glassdoor.com/Jobs/Freshworks-Jobs-E12345.htm,"careers_page,indeed",,
Frontstep,Real Estate Technology,,https://frontstep.com/careers/,Small,careers_page,"https://www.indeed.com/jobs?q=company:""Frontstep""&l=nan,CO",https://angel.co/company/frontstep/jobs,https://www.glassdoor.com/Jobs/Frontstep-Jobs-E12345.htm,"indeed,angellist,glassdoor",https://jobs.lever.co/frontsteps,
Fullcontact,Analytics & AI,Denver,https://www.fullcontact.com/about/careers,Small,careers_page,"https://www.indeed.com/jobs?q=company:""Fullcontact""&l=Denver,CO",https://angel.co/company/fullcontact/jobs,https://www.glassdoor.com/Jobs/Fullcontact-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
Gatemaster,Software & Services,,https://gatemaster.com/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Gatemaster""&l=nan,CO",,https://www.glassdoor.com/Jobs/Gatemaster-Jobs-E12345.htm,"careers_page,indeed",,
General Dynamics,Public Safety,,https://gdmissionsystems.com/careers,Large,careers_page,"https://www.indeed.com/jobs?q=company:""General Dynamics""&l=nan,CO",,https://www.glassdoor.com/Jobs/General-Dynamics-Jobs-E12345.htm,careers_page_only,,
Genesys,Communications,,https://www.genesys.com/careers,Large,careers_page,"https://www.indeed.com/jobs?q=company:""Genesys""&l=nan,CO",,https://www.glassdoor.com/Jobs/Genesys-Jobs-E12345.htm,careers_page_only,,
Genetec,Cybersecurity,,https://www.genetec.com/careers,Small,careers_page,"https://www.indeed.com/jobs?q=company:""Genetec""&l=nan,CO",https://angel.co/company/genetec/jobs,https://www.glassdoor.com/Jobs/Genetec-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
GHX,Software & Services,,https://www.ghx.com/about/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""GHX""&l=nan,CO",,https://www.glassdoor.com/Jobs/GHX-Jobs-E12345.htm,"careers_page,indeed",,
Gig smart,HR Technology,,https://www.gigsmart.com/about/careers,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Gig smart""&l=nan,CO",,https://www.glassdoor.com/Jobs/Gig-smart-Jobs-E12345.htm,"careers_page,indeed",,
